name,ring,quadrant,isNew,description
Java,adopt,languages & frameworks,FALSE,Eclipse Temurin 21
Node/Typescript,adopt,languages & frameworks,FALSE,In the wiki/refarch/modules
Python,adopt,languages & frameworks,FALSE,In the wiki/refarch/modules
Spring,adopt,languages & frameworks,FALSE,In the wiki/refarch/modules
SQL,adopt,languages & frameworks,FALSE,In the wiki/refarch/modules
Swift,adopt,languages & frameworks,FALSE,In the wiki/refarch/modules
Terraform,adopt,languages & frameworks,FALSE,In the wiki/refarch/modules
Angular,adopt,languages & frameworks,FALSE,In the wiki/refarch/modules
Redis,adopt,languages & frameworks,FALSE,In the wiki/refarch/modules
Karate,assess,languages & frameworks,TRUE,Optix / Kitt to review/Findings? Sales and Catering Tushar M as well to sponsor
AWS Cognito,hold,platforms,FALSE,Move to UIS
AWS,adopt,platforms,FALSE,In the wiki/refarch/modules
ECR Security Scanning,adopt,platforms,FALSE,
RabbitMQ,hold,platforms,FALSE,Are we moving to Amazon MQ?  Do we want this for anything outside of Integrations? What is supported in China?
Cloud AMQP,hold,platforms,FALSE,
MongoDB/Atlas,hold,platforms,FALSE,
Apache HTTP Server,hold,platforms,FALSE,
Microsoft SQL Server,hold,platforms,FALSE,
Windows Stack,hold,platforms,FALSE,
NGINX,hold,platforms,FALSE,
VMware,hold,platforms,FALSE,
AWS Athena,hold,platforms,TRUE,Issues with scalability
Amazon MQ,trial,platforms,FALSE,
Architecture Review / Collaboration,adopt,techniques,TRUE,
Scrum,adopt,techniques,FALSE,
Kanban,adopt,techniques,FALSE,
Evolutionary Architecture,adopt,techniques,FALSE,
Emergent Design,adopt,techniques,FALSE,
API First,adopt,techniques,FALSE,
Standardized SonarQube Rules,hold,techniques,FALSE,Moving away from SONAR
HA/Clustering First,adopt,techniques,FALSE,
Event Driven Architecture (for system integration),adopt,techniques,FALSE,
Branch by Abstraction,adopt,techniques,FALSE,In the wiki/refarch/modules
Zero-Downtime,adopt,techniques,FALSE,In the wiki/refarch/modules
Infrastructure as Code,adopt,techniques,FALSE,In the wiki/refarch/modules
Technology Radar,adopt,techniques,FALSE,In the wiki/refarch/modules
REST RMM2,adopt,techniques,FALSE,Managed by API Guild
Security/Penetration Testing,adopt,techniques,FALSE,
Exploratory Testing,adopt,techniques,FALSE,
Reactive Programming (Client),adopt,techniques,FALSE,
Data Contracts,assess,techniques,TRUE,
DesignOps,assess,techniques,FALSE,
Domain Centric Data Storage,trial,techniques,FALSE,
Long Running Tests in Branch Builds,hold,techniques,FALSE,
Environment for Performance Tests,hold,techniques,FALSE,
Service Mesh,hold,techniques,FALSE,
Privacy By Design,trial,techniques,FALSE,
Define Sponsors for New Blips,trial,techniques,TRUE,
Fade Blips after 1 year,trial,techniques,TRUE,Keep the RADAR focused on new tech and processes
GitHub,adopt,tools,FALSE,
XRebel,adopt,tools,FALSE,
K6,adopt,tools,FALSE,Performance testing
Artifactory Cloud,adopt,tools,FALSE,
Maven,adopt,tools,FALSE,
Studio 3T for MongoDB,adopt,tools,FALSE,
Mongock,hold,tools,FALSE,
Crowdin,adopt,tools,FALSE,
Commvault for Backups,adopt,tools,FALSE,
SFDC for Sales and CRM,adopt,tools,FALSE,
Postman(For automation tests),adopt,tools,FALSE,
Flyway for Database Migration,adopt,tools,FALSE,
Gradle,adopt,tools,FALSE,
Storybook,adopt,tools,FALSE,
Dependabot,adopt,tools,TRUE,
"ETL alternatives to SpringBoot ecosystem (dbt, airflow, etc)",assess,tools,TRUE,
Jenkins,hold,tools,FALSE,
JRebel,hold,tools,FALSE,
CMA,hold,tools,FALSE,
SFDC for Anything But Sales,hold,tools,FALSE,
ServiceNow,hold,tools,FALSE,
AI Assistants for Engineers(CoPilot),adopt,tools,TRUE,
OpenTelemetry (alternative to Datadog Agent),trial,tools,TRUE,Needs a sponsor
Open AI Assistants for Customer Help,trial,platforms,TRUE,
